,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2016-03-12,1453.51811,547.5151720492344,2321.849567716916,1453.51811,1453.51811,0.0,0.0,0.0,0.0,0.0,0.0,1453.51811
1,2016-03-13,1356.0628583333335,429.24734412470224,2173.659626710306,1356.0628583333335,1356.0628583333335,0.0,0.0,0.0,0.0,0.0,0.0,1356.0628583333335
2,2016-03-14,1258.6076066228818,338.9244109822275,2180.487724637234,1258.6076066228818,1258.6076066228818,0.0,0.0,0.0,0.0,0.0,0.0,1258.6076066228818
3,2016-03-15,1161.1523548469863,268.7444013468605,2018.3425116321841,1161.1523548469863,1161.1523548469863,0.0,0.0,0.0,0.0,0.0,0.0,1161.1523548469863
4,2016-03-16,1063.6971031170244,186.01612067499116,1924.374770009407,1063.6971031170244,1063.6971031170244,0.0,0.0,0.0,0.0,0.0,0.0,1063.6971031170244
5,2016-03-17,966.2418514096214,88.5547922089606,1836.3114790023315,966.2418514096214,966.2418514096214,0.0,0.0,0.0,0.0,0.0,0.0,966.2418514096214
6,2016-03-18,868.7865996645228,-42.93584584690692,1811.9536815429947,868.7865996645228,868.7865996645228,0.0,0.0,0.0,0.0,0.0,0.0,868.7865996645228
7,2016-03-19,771.3313479215983,-93.54387879620214,1652.460261081557,771.3313479215983,771.3313479215983,0.0,0.0,0.0,0.0,0.0,0.0,771.3313479215983
8,2016-03-20,673.8760962392929,-262.63607651474,1636.6231119462236,673.8760962392929,673.8760962392929,0.0,0.0,0.0,0.0,0.0,0.0,673.8760962392929
9,2016-03-21,576.4208445569874,-370.6190533438214,1479.5682256503585,576.4208445569874,576.4208445569874,0.0,0.0,0.0,0.0,0.0,0.0,576.4208445569874
10,2016-03-22,478.96559287468193,-398.48251789575613,1351.4253406488167,478.9655904036093,478.9655949838321,0.0,0.0,0.0,0.0,0.0,0.0,478.96559287468193
11,2016-03-23,381.5103411923765,-480.6750820134954,1280.7227882182133,381.5103339138502,381.51034781665,0.0,0.0,0.0,0.0,0.0,0.0,381.5103411923765
12,2016-03-24,284.0550895100712,-553.8115596269723,1137.4149842532795,284.0550755149327,284.05510255207645,0.0,0.0,0.0,0.0,0.0,0.0,284.0550895100712
13,2016-03-25,186.59983782776573,-683.6676496776893,1110.983332196965,186.59981565596792,186.59985763647032,0.0,0.0,0.0,0.0,0.0,0.0,186.59983782776573
14,2016-03-26,89.1445861454601,-789.9416434109197,899.8330015031319,89.14455478333845,89.14461542769246,0.0,0.0,0.0,0.0,0.0,0.0,89.1445861454601
15,2016-03-27,-8.31066553684537,-868.5459157030309,890.8715280621481,-8.310708308378201,-8.310627222750682,0.0,0.0,0.0,0.0,0.0,0.0,-8.31066553684537
16,2016-03-28,-105.76591721915067,-952.4296282641984,750.0113477526314,-105.76597187372485,-105.76586738561744,0.0,0.0,0.0,0.0,0.0,0.0,-105.76591721915067
