,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2016-03-12 00:00:00,1.2569059,-0.3367696323491913,4.981327894630643,1.2569059,1.2569059,0.9914347700007112,0.9914347700007112,0.9914347700007112,0.9914347700007112,0.9914347700007112,0.9914347700007112,0.0,0.0,0.0,2.248340670000711
1,2016-03-12 00:01:00,1.2569413120515494,-0.5868486208899114,4.729988108916087,1.2569413120515494,1.2569413120515494,0.9896486506925825,0.9896486506925825,0.9896486506925825,0.9896486506925825,0.9896486506925825,0.9896486506925825,0.0,0.0,0.0,2.2465899627441317
2,2016-03-12 00:02:00,1.2569767241030985,-0.3337204077810319,4.814484661887084,1.2569767241030985,1.2569767241030985,0.9877350490818093,0.9877350490818093,0.9877350490818093,0.9877350490818093,0.9877350490818093,0.9877350490818093,0.0,0.0,0.0,2.2447117731849078
3,2016-03-12 00:03:00,1.2570121361546478,-0.5851322377781506,4.837004040585381,1.2570121361546478,1.2570121361546478,0.9856936958342868,0.9856936958342868,0.9856936958342868,0.9856936958342868,0.9856936958342868,0.9856936958342868,0.0,0.0,0.0,2.2427058319889346
4,2016-03-12 00:04:00,1.2570475482061971,-0.23182413428201554,4.844529327817097,1.2570475482061971,1.2570475482061971,0.9835243439414978,0.9835243439414978,0.9835243439414978,0.9835243439414978,0.9835243439414978,0.9835243439414978,0.0,0.0,0.0,2.240571892147695
5,2016-03-12 00:05:00,1.2570829602577462,-0.3735920978382172,4.837274583643996,1.2570829602577462,1.2570829602577462,0.981226768842985,0.981226768842985,0.981226768842985,0.981226768842985,0.981226768842985,0.981226768842985,0.0,0.0,0.0,2.238309729100731
6,2016-03-12 00:07:00,1.2571537843608447,-0.3571152306472242,4.901414695969904,1.2571537843608447,1.2571537843608447,0.9762461633627473,0.9762461633627473,0.9762461633627473,0.9762461633627473,0.9762461633627473,0.9762461633627473,0.0,0.0,0.0,2.233399947723592
7,2016-03-12 00:08:00,1.2571891964123942,-0.34044261273053505,4.676207820552196,1.2571891964123942,1.2571891964123942,0.9735627968133944,0.9735627968133944,0.9735627968133944,0.9735627968133944,0.9735627968133944,0.9735627968133944,0.0,0.0,0.0,2.2307519932257884
8,2016-03-12 00:09:00,1.2572246084639433,-0.41689619834753694,4.913829574013883,1.2572246084639433,1.2572246084639433,0.9707505348002061,0.9707505348002061,0.9707505348002061,0.9707505348002061,0.9707505348002061,0.9707505348002061,0.0,0.0,0.0,2.2279751432641497
9,2016-03-12 00:10:00,1.2572600205154927,-0.3121968479008071,4.945140875536873,1.2572600205154927,1.2572600205154927,0.9678092662071948,0.9678092662071948,0.9678092662071948,0.9678092662071948,0.9678092662071948,0.9678092662071948,0.0,0.0,0.0,2.2250692867226873
10,2016-03-12 00:11:00,1.2572954325670418,-0.5013899025819527,4.731487046675855,1.2572954325670418,1.2572954325670418,0.9647389028343394,0.9647389028343394,0.9647389028343394,0.9647389028343394,0.9647389028343394,0.9647389028343394,0.0,0.0,0.0,2.222034335401381
11,2016-03-12 00:13:00,1.2573662566701405,-0.49361595600358854,4.676185993592971,1.2573662566701405,1.2573662566701405,0.9582106538654633,0.9582106538654633,0.9582106538654633,0.9582106538654633,0.9582106538654633,0.9582106538654633,0.0,0.0,0.0,2.215576910535604
